ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CRUSADERS,CHC,1,1,2,0,3,1,0,0
2,SHARKS,CBR,3,2,1,0,2,1,5,0
3,FORCE,CBR,4,1,1,0,2,2,1,0
4,WARATAHS,SYD,4,4,0,0,2,1,0,0
5,HIGHLANDERS,CBR,1,1,2,0,2,1,2,0
7,REDS,CBR,6,5,1,0,1,1,1,0
8,REBELS,MEL,3,1,0,0,1,1,4,0
9,HURRICANES,NPE,3,3,0,0,8,8,0,0
10,BLUES,CBR,0,0,4,0,3,1,0,0
12,LIONS,CBR,0,0,2,0,1,1,2,0
13,KINGS,PLZ,3,2,0,0,1,1,1,0
14,JAGUARES,BUE,6,3,1,0,2,1,1,0
15,REBELS,CBR,4,3,2,0,0,0,1,0
16,REDS,BNE,2,1,1,0,1,1,3,0
17,CHIEFS,HLZ,1,1,1,0,3,2,3,0
QF,HURRICANES,CBR,2,0,2,0,4,3,3,0
