ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SUNWOLVES,SIN,6,6,1,0,1,1,1,0
2,BLUES,DUR,4,3,0,0,1,1,0,0
3,STORMERS,DUR,1,0,2,0,1,1,3,0
4,BULLS,PRE,2,2,0,0,3,2,5,1
6,REBELS,DUR,3,2,3,0,2,2,0,0
7,BULLS,DUR,2,0,2,0,1,1,4,0
8,LIONS,JNB,6,3,2,0,1,0,0,0
9,JAGUARES,DUR,2,2,1,0,7,5,2,0
10,REDS,DUR,2,2,0,0,3,3,0,0
11,WARATAHS,PAR,2,2,3,0,2,1,1,0
12,CRUSADERS,CHC,0,0,7,0,3,3,0,0
13,CHIEFS,HLZ,2,2,3,0,4,3,1,0
15,LIONS,DUR,3,3,2,0,2,2,1,0
16,HURRICANES,DUR,2,2,1,0,3,3,3,0
17,JAGUARES,BUE,1,1,0,0,5,3,1,0
18,STORMERS,CPT,2,1,0,0,0,0,3,0
QF,BRUMBIES,CBR,1,1,2,0,5,5,1,0
