ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,REBELS,CBR,4,2,1,0,5,3,1,0
2,CHIEFS,CBR,8,7,0,0,2,2,1,0
3,HURRICANES,PMR,2,0,1,0,6,5,1,0
4,REBELS,MEL,4,2,0,0,4,3,1,0
5,WARATAHS,CBR,3,1,0,0,2,0,1,0
6,REDS,BNE,2,2,0,0,5,4,1,0
7,CRUSADERS,CHC,2,2,0,0,5,4,1,0
8,LIONS,CBR,5,3,0,0,3,1,1,0
10,STORMERS,CPT,3,2,0,0,2,2,1,0
11,JAGUARES,BUE,2,1,1,0,3,1,1,0
12,BLUES,CBR,4,3,0,0,2,1,3,0
13,SUNWOLVES,CBR,5,4,0,0,0,0,0,0
15,BULLS,CBR,4,1,0,0,1,1,1,0
16,SUNWOLVES,TYO,6,6,0,0,3,2,0,0
17,WARATAHS,PAR,5,5,0,0,3,3,1,0
18,REDS,CBR,6,5,0,0,3,3,1,1
QF,SHARKS,CBR,5,5,1,0,1,1,2,0
