ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BULLS,PRE,0,0,1,0,4,4,4,0
2,LIONS,CPT,1,1,4,0,2,2,1,0
3,SHARKS,DUR,1,1,3,0,1,0,2,0
5,JAGUARES,CPT,4,3,3,0,1,0,1,0
6,HURRICANES,WLG,3,2,3,0,5,3,1,0
7,BLUES,AKL,0,0,3,0,3,3,1,0
8,REDS,BNE,2,1,0,0,3,3,1,0
9,REBELS,MEL,5,5,2,0,3,3,1,0
10,BRUMBIES,CPT,2,2,1,0,3,2,0,0
11,BULLS,CPT,3,3,1,0,2,2,3,0
12,JAGUARES,BUE,1,1,6,0,3,2,3,0
14,CRUSADERS,CPT,1,1,4,0,3,2,0,0
15,HIGHLANDERS,CPT,4,4,2,0,3,2,1,0
16,LIONS,JNB,3,2,1,0,6,4,1,0
17,SUNWOLVES,CPT,4,4,1,0,2,1,2,0
18,SHARKS,CPT,0,0,3,0,2,1,0,0
