ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BRUMBIES,CBR,5,3,1,0,4,2,1,0
3,HIGHLANDERS,MEL,4,2,0,0,3,2,0,0
4,BRUMBIES,MEL,4,3,1,0,4,2,0,0
5,LIONS,JNB,5,4,0,0,5,4,1,0
6,SHARKS,DUR,2,2,0,0,3,2,3,0
7,REDS,BNE,4,3,1,0,1,1,2,0
8,SUNWOLVES,MEL,6,6,0,0,2,1,1,0
9,STORMERS,MEL,3,3,1,0,5,5,2,0
10,WARATAHS,SCG,2,2,2,0,2,2,3,0
12,HURRICANES,WLG,3,2,0,0,4,3,1,0
13,REDS,MEL,4,2,2,0,2,1,4,0
14,BULLS,MEL,3,1,0,0,4,3,2,0
15,SUNWOLVES,TYO,8,6,0,0,1,1,0,0
16,WARATAHS,MEL,2,1,1,0,2,2,2,0
17,CRUSADERS,CHC,0,0,0,0,10,8,0,0
18,CHIEFS,MEL,1,0,1,0,9,7,0,0
